Fiscal Year,NAICS,Employer,sum(Initial Approvals),sum(Initial Denials),ApprovalRate
2012,54,cognizant,9534,605,0.9403294210474406
2012,54,tata,7620,303,0.9617569102612646
2014,54,tata,7547,533,0.9340346534653465
2013,54,tata,6443,261,0.9610680190930787
2013,54,infosys,6433,460,0.9332656318003772
2012,54,infosys,5604,147,0.9744392279603548
2014,54,cognizant,5448,711,0.8845591816853385
2013,54,cognizant,5422,951,0.8507767142632983
2015,54,tata,4764,283,0.9439270853972657
2012,54,wipro,4363,107,0.976062639821029
2014,54,infosys,4137,157,0.9634373544480671
2012,54,accenture,4093,56,0.9865027717522294
2016,54,cognizant,3934,196,0.9525423728813559
2015,54,cognizant,3846,319,0.9234093637454982
2015,54,accenture,3431,157,0.9562430323299889
2013,54,accenture,3373,105,0.9698102357676825
2014,54,wipro,3333,263,0.9268631813125695
2017,54,cognizant,3207,407,0.887382401770891
2015,54,wipro,3185,242,0.9293843011380216
2019,45,amazon,3109,126,0.9610510046367852
2015,54,infosys,2771,64,0.9774250440917107
2019,54,google,2701,104,0.9629233511586452
2013,54,wipro,2676,144,0.948936170212766
2018,45,amazon,2616,41,0.9845690628528415
2014,54,accenture,2530,131,0.9507703870725291
2017,54,tata,2357,222,0.9139201240791004
2016,54,infosys,2348,44,0.9816053511705686
2012,54,hcl,2325,111,0.9544334975369458
2017,45,amazon,2323,25,0.9893526405451448
2017,54,mahindra,2220,210,0.9135802469135802
2016,54,tata,2056,179,0.9199105145413871
2013,54,hcl,1962,211,0.902899217671422
2012,54,larsen  toubro,1866,23,0.9878242456326098
2016,54,accenture,1847,40,0.9788023317435082
2019,54,tata,1779,777,0.6960093896713615
2015,54,ibm india private,1711,51,0.97105561861521
2019,51,microsoft,1706,109,0.9399449035812673
2014,54,mahindra,1666,133,0.9260700389105059
2013,54,larsen  toubro,1604,40,0.975669099756691
2019,54,cognizant,1590,2065,0.43502051983584133
2015,54,mahindra,1571,64,0.9608562691131498
2019,51,facebook,1520,40,0.9743589743589743
2012,51,microsoft,1513,2,0.9986798679867986
2016,54,wipro,1475,121,0.9241854636591479
2017,51,microsoft,1467,18,0.9878787878787879
2013,54,ibm india private,1388,66,0.9546079779917469
2014,54,larsen  toubro,1379,31,0.9780141843971631
2015,54,hcl,1365,25,0.9820143884892086
2014,54,ibm india private,1347,51,0.9635193133047211
2016,54,ibm india private,1342,134,0.9092140921409214
2016,45,amazon,1261,10,0.99213217938631
2018,51,microsoft,1257,14,0.988985051140834
2017,54,wipro,1235,95,0.9285714285714286
2016,54,mahindra,1226,190,0.865819209039548
2012,54,patni,1216,75,0.9419054996127033
2017,54,google,1214,13,0.9894050529747351
2012,54,syntel,1212,22,0.9821717990275527
2019,54,deloitte,1185,882,0.5732946298984035
2012,54,satyam computer,1184,48,0.961038961038961
2017,54,infosys,1181,159,0.8813432835820896
2019,54,ibm,1169,407,0.741751269035533
2014,54,syntel,1156,28,0.9763513513513513
2016,54,capgemini,1152,56,0.9536423841059603
2019,33,apple,1148,29,0.9753610875106202
2016,51,microsoft,1135,11,0.9904013961605584
2012,54,deloitte,1104,43,0.962510897994769
2013,54,satyam computer,1093,63,0.9455017301038062
2017,33,intel,1088,9,0.99179580674567
2016,54,hcl,1077,52,0.953941541186891
2013,51,microsoft,1056,5,0.9952874646559849
2015,54,syntel,1053,6,0.9943342776203966
2013,54,syntel,1044,35,0.9675625579240037
2019,33,intel,1035,35,0.9672897196261683
2014,54,hcl,1004,68,0.9365671641791045
2014,54,igate,982,59,0.9433237271853987
2015,51,microsoft,968,12,0.9877551020408163
2017,54,ibm india private,955,185,0.8377192982456141
2015,45,amazon,954,12,0.9875776397515528
2017,54,accenture,953,109,0.8973634651600754
2019,54,mahindra,947,557,0.629654255319149
2016,33,intel,940,4,0.9957627118644068
2016,54,google,938,8,0.9915433403805497
2013,54,deloitte,938,15,0.9842602308499475
2017,54,hcl,917,42,0.9562043795620438
2018,33,intel,904,10,0.9890590809628009
2014,45,amazon,903,3,0.9966887417218543
2014,51,microsoft,899,6,0.9933701657458563
2012,54,ibm india pvt,893,50,0.9469777306468717
2013,45,amazon,883,3,0.9966139954853274
2016,54,larsen  toubro,874,39,0.9572836801752465
2015,54,google,848,7,0.991812865497076
2014,54,deloitte,836,137,0.8591983556012333
2012,33,intel,826,5,0.9939831528279182
2019,54,capgemini,814,670,0.5485175202156334
2013,33,qualcomm,812,3,0.996319018404908
2012,45,amazon,785,2,0.9974587039390089
2018,54,google,784,10,0.9874055415617129
2013,33,intel,784,0,1.0
2014,54,google,768,0,1.0
2019,54,infosys,768,405,0.6547314578005116
2013,54,google,762,0,1.0
2012,54,mahindra,759,41,0.94875
2012,54,ibm india private,749,4,0.9946879150066401
2014,54,capgemini,731,80,0.9013563501849569
2014,33,intel,726,5,0.9931600547195623
2018,54,ernst  young,717,94,0.8840937114673243
2017,51,facebook,708,1,0.998589562764457
