Fiscal Year,NAICS,sum(TotalApproval),sum(TotalDenial),sum(TotalApply)
2009,54,106135,19501,125636
2009,61,32777,1118,33895
2009,33,19942,445,20387
2009,62,16017,1623,17640
2009,52,13517,295,13812
2009,51,6902,292,7194
2009,99,4832,694,5526
2009,32,3832,120,3952
2009,56,2900,472,3372
2009,44,3118,245,3363
2009,72,1752,294,2046
2009,42,1728,108,1836
2009,31,1725,96,1821
2009,81,1391,178,1569
2009,48,1386,86,1472
2009,21,1422,27,1449
2009,45,1388,52,1440
2009,71,1024,98,1122
2009,23,971,39,1010
2009,53,843,98,941
2009,22,925,14,939
2009,55,825,26,851
2009,92,755,39,794
2009,11,382,35,417
2009,49,90,11,101
2010,54,90718,6578,97296
2010,61,25219,1019,26238
2010,33,16791,385,17176
2010,62,13782,1338,15120
2010,52,12196,255,12451
2010,51,9075,248,9323
2010,99,3291,637,3928
2010,32,2925,91,3016
2010,44,2532,281,2813
2010,56,1906,373,2279
2010,31,1520,122,1642
2010,45,1505,66,1571
2010,72,1255,299,1554
2010,81,1265,209,1474
2010,42,1322,102,1424
2010,48,986,90,1076
2010,21,1023,17,1040
2010,55,899,28,927
2010,71,807,111,918
2010,53,664,103,767
2010,22,715,19,734
2010,23,595,28,623
2010,92,545,28,573
2010,11,252,38,290
2010,49,72,5,77
2010,503,0,57,57
2011,54,136044,7023,143067
2011,61,31284,737,32021
2011,33,24930,550,25480
2011,62,17162,1381,18543
2011,52,15042,289,15331
2011,51,12971,298,13269
2011,99,3820,646,4466
2011,32,4006,122,4128
2011,44,3085,314,3399
2011,56,2764,299,3063
2011,45,2596,79,2675
2011,42,1874,146,2020
2011,31,1864,152,2016
2011,72,1478,363,1841
2011,81,1575,192,1767
2011,71,1448,124,1572
2011,21,1431,22,1453
2011,48,1206,112,1318
2011,55,1126,27,1153
2011,22,975,15,990
2011,53,813,122,935
2011,23,785,27,812
2011,92,717,38,755
2011,11,334,26,360
2011,49,99,7,106
2012,54,156925,6778,163703
2012,61,22614,638,23252
2012,33,22442,463,22905
2012,62,12641,761,13402
2012,52,12721,235,12956
2012,51,12273,256,12529
2012,99,5146,815,5961
2012,32,3722,117,3839
2012,45,2755,69,2824
2012,44,2340,177,2517
2012,56,2316,186,2502
2012,42,1799,106,1905
2012,21,1719,38,1757
2012,31,1549,105,1654
2012,81,1295,129,1424
2012,48,1081,82,1163
2012,72,956,201,1157
2012,55,1111,32,1143
2012,22,819,13,832
2012,23,762,24,786
2012,71,690,76,766
2012,53,673,72,745
2012,92,503,20,523
2012,11,295,20,315
2012,49,75,7,82
2013,54,168867,9364,178231
2013,61,26950,797,27747
2013,33,24042,479,24521
2013,62,15746,695,16441
2013,51,14032,284,14316
2013,52,13505,245,13750
2013,99,4512,745,5257
2013,32,3822,109,3931
2013,45,3720,77,3797
2013,56,2590,244,2834
2013,44,2583,207,2790
2013,42,2381,147,2528
2013,31,1613,103,1716
2013,21,1553,23,1576
2013,55,1368,32,1400
2013,81,1229,117,1346
2013,48,1197,68,1265
2013,72,993,157,1150
2013,23,925,30,955
2013,22,872,15,887
2013,53,719,59,778
2013,71,624,62,686
2013,92,543,36,579
2013,11,343,22,365
2013,49,61,7,68
2014,54,203230,12393,215623
2014,33,25601,447,26048
2014,61,24547,577,25124
2014,52,16160,284,16444
2014,51,15937,359,16296
2014,62,14474,599,15073
2014,45,4392,76,4468
2014,32,4334,96,4430
2014,42,3104,204,3308
2014,56,2692,243,2935
2014,44,2691,200,2891
2014,99,2376,495,2871
2014,21,1680,40,1720
2014,55,1674,18,1692
2014,31,1606,75,1681
2014,81,1335,107,1442
2014,48,1159,60,1219
2014,23,1125,53,1178
2014,72,900,181,1081
2014,53,888,83,971
2014,22,868,15,883
2014,71,622,85,707
2014,92,508,30,538
2014,11,306,25,331
2014,49,86,9,95
2015,54,177463,9729,187192
2015,33,21624,329,21953
2015,61,20674,578,21252
2015,52,15904,236,16140
2015,51,15147,285,15432
2015,62,11300,484,11784
2015,45,4165,69,4234
2015,32,3334,76,3410
2015,42,2625,170,2795
2015,56,2210,187,2397
2015,44,2103,127,2230
2015,55,1558,20,1578
2015,31,1299,65,1364
2015,21,1218,30,1248
2015,99,1031,188,1219
2015,23,1111,57,1168
2015,81,1036,91,1127
2015,48,877,46,923
2015,72,689,114,803
2015,53,683,56,739
2015,22,656,20,676
2015,92,508,23,531
2015,71,450,56,506
2015,11,211,22,233
2015,49,133,3,136
2016,54,225088,17929,243017
2016,33,25665,593,26258
2016,61,23644,848,24492
2016,51,18723,567,19290
2016,52,18723,459,19182
2016,62,13643,656,14299
2016,45,5991,115,6106
2016,32,3950,121,4071
2016,42,3186,265,3451
2016,56,2874,337,3211
2016,44,2452,160,2612
2016,55,1948,30,1978
2016,31,1452,64,1516
2016,23,1229,88,1317
2016,99,1106,182,1288
2016,81,1118,110,1228
2016,48,1027,71,1098
2016,21,911,54,965
2016,53,841,81,922
2016,72,787,125,912
2016,22,754,25,779
2016,92,549,38,587
2016,71,475,66,541
2016,11,207,21,228
2016,49,188,9,197
2017,54,238187,24941,263128
2017,33,26035,595,26630
2017,61,23990,811,24801
2017,51,20325,594,20919
2017,52,17959,463,18422
2017,62,14459,664,15123
2017,45,8085,128,8213
2017,32,3908,124,4032
2017,56,3133,307,3440
2017,42,2933,239,3172
2017,44,2218,128,2346
2017,55,1969,29,1998
2017,31,1227,65,1292
2017,23,1107,76,1183
2017,48,971,69,1040
2017,99,866,164,1030
2017,81,922,94,1016
2017,21,895,42,937
2017,53,791,82,873
2017,72,723,111,834
2017,22,717,14,731
2017,92,440,31,471
2017,71,395,46,441
2017,49,221,5,226
2017,11,204,14,218
2018,54,185183,51430,236613
2018,33,29446,1222,30668
2018,52,24784,1524,26308
2018,51,24490,1324,25814
2018,61,20110,930,21040
2018,62,12621,771,13392
2018,45,9766,358,10124
2018,32,4622,314,4936
2018,42,3550,517,4067
2018,56,3274,724,3998
2018,44,2649,373,3022
2018,55,2676,103,2779
2018,31,1515,167,1682
2018,23,1440,203,1643
2018,48,1331,151,1482
2018,99,1120,321,1441
2018,53,1060,205,1265
2018,81,995,131,1126
2018,72,688,224,912
2018,21,785,44,829
2018,22,719,35,754
2018,92,545,56,601
2018,71,385,87,472
2018,49,358,42,400
2018,11,131,54,185
2019,54,211172,57537,268709
2019,33,34297,1610,35907
2019,51,29477,1795,31272
2019,52,27149,1698,28847
2019,61,24915,1046,25961
2019,62,15131,722,15853
2019,45,12426,601,13027
2019,32,5224,359,5583
2019,56,3955,881,4836
2019,42,4233,560,4793
2019,99,3990,687,4677
2019,44,2828,341,3169
2019,55,2220,128,2348
2019,23,1915,182,2097
2019,31,1705,189,1894
2019,53,1445,200,1645
2019,48,1306,154,1460
2019,81,1048,182,1230
2019,72,806,177,983
2019,22,908,64,972
2019,21,822,77,899
2019,92,578,58,636
2019,49,459,46,505
2019,71,391,96,487
2019,11,236,68,304
