Fiscal Year,State,sum(TotalApproval),sum(TotalDenial),sum(TotalApply)
2009,CA,38056,3838,41894
2009,NJ,25958,8181,34139
2009,NY,24141,1206,25347
2009,TX,21529,1928,23457
2009,MA,10610,693,11303
2009,IL,9771,1397,11168
2009,PA,9757,607,10364
2009,FL,9108,823,9931
2009,VA,7834,1125,8959
2009,MI,6162,974,7136
2009,GA,6176,890,7066
2009,WA,6551,287,6838
2009,MD,6171,493,6664
2009,NC,5053,321,5374
2009,OH,4427,426,4853
2009,CT,3313,199,3512
2009,AZ,2382,229,2611
2009,MN,2260,160,2420
2009,MO,2236,111,2347
2009,TN,2020,102,2122
2009,WI,1906,89,1995
2009,CO,1831,156,1987
2009,IN,1619,145,1764
2009,DC,1647,109,1756
2009,DE,1274,400,1674
2009,LA,1193,53,1246
2009,IA,1090,72,1162
2009,KS,1020,113,1133
2009,AL,974,80,1054
2009,OR,915,47,962
2009,KY,887,63,950
2009,OK,824,58,882
2009,AR,811,69,880
2009,RI,735,24,759
2009,NE,690,36,726
2009,SC,650,38,688
2009,NH,558,72,630
2009,UT,565,48,613
2009,NM,512,31,543
2009,NV,479,63,542
2009,ID,484,10,494
2009,HI,336,35,371
2009,MS,338,16,354
2009,ME,258,90,348
2009,VT,281,12,293
2009,WV,213,2,215
2009,ND,196,15,211
2009,PR,151,7,158
2009,GU,144,13,157
2009,SD,121,8,129
2009,VI,109,11,120
2009,AK,95,11,106
2009,WY,81,15,96
2009,MT,76,5,81
2009,AE,1,0,1
2010,CA,32160,2785,34945
2010,NJ,25634,1794,27428
2010,TX,20440,1063,21503
2010,NY,20023,968,20991
2010,IL,8450,823,9273
2010,MA,8001,261,8262
2010,PA,7670,291,7961
2010,FL,6924,630,7554
2010,WA,6614,196,6810
2010,VA,5628,443,6071
2010,MI,5467,560,6027
2010,GA,4465,391,4856
2010,MD,4534,207,4741
2010,NC,3935,146,4081
2010,OH,3382,313,3695
2010,CT,2576,63,2639
2010,AZ,1905,159,2064
2010,MO,1868,87,1955
2010,MN,1781,95,1876
2010,TN,1693,82,1775
2010,WI,1590,69,1659
2010,CO,1360,99,1459
2010,DC,1347,55,1402
2010,DE,1285,77,1362
2010,IN,1281,79,1360
2010,LA,950,84,1034
2010,KS,800,69,869
2010,IA,767,40,807
2010,AL,741,35,776
2010,KY,731,36,767
2010,OR,700,34,734
2010,AR,689,23,712
2010,RI,637,11,648
2010,OK,593,53,646
2010,NE,597,27,624
2010,SC,501,34,535
2010,UT,469,42,511
2010,NV,406,63,469
2010,NH,371,26,397
2010,NM,382,13,395
2010,ID,383,5,388
2010,HI,310,41,351
2010,MS,254,11,265
2010,VT,256,8,264
2010,WV,241,9,250
2010,ME,214,14,228
2010,GU,183,31,214
2010,ND,161,14,175
2010,PR,118,16,134
2010,AK,115,18,133
2010,SD,97,11,108
2010,WY,58,9,67
2010,MT,58,6,64
2010,VI,55,5,60
2010,MP,9,3,12
2010,AP,1,0,1
2011,CA,45791,2444,48235
2011,NJ,38498,2346,40844
2011,TX,29544,1049,30593
2011,NY,25164,949,26113
2011,IL,13559,812,14371
2011,MA,10929,357,11286
2011,PA,10794,300,11094
2011,FL,9053,703,9756
2011,VA,8110,454,8564
2011,MI,7760,500,8260
2011,WA,8057,197,8254
2011,MD,7686,365,8051
2011,GA,6468,316,6784
2011,NC,5144,437,5581
2011,OH,4799,212,5011
2011,CT,3382,110,3492
2011,AZ,2753,156,2909
2011,TN,2600,59,2659
2011,MO,2522,87,2609
2011,MN,2435,81,2516
2011,WI,2237,74,2311
2011,CO,1999,92,2091
2011,DC,1710,102,1812
2011,IN,1665,65,1730
2011,DE,1559,87,1646
2011,IA,1207,46,1253
2011,AR,1088,27,1115
2011,KS,1055,54,1109
2011,LA,1063,44,1107
2011,KY,1018,34,1052
2011,OR,965,43,1008
2011,AL,936,38,974
2011,OK,880,31,911
2011,NE,755,29,784
2011,RI,701,20,721
2011,UT,635,44,679
2011,SC,636,26,662
2011,NH,589,38,627
2011,NV,442,69,511
2011,ID,435,18,453
2011,NM,372,12,384
2011,MS,342,31,373
2011,HI,320,46,366
2011,VT,328,8,336
2011,ME,267,12,279
2011,ND,211,13,224
2011,WV,207,13,220
2011,GU,194,20,214
2011,PR,140,4,144
2011,SD,133,6,139
2011,AK,81,9,90
2011,MT,76,4,80
2011,VI,63,8,71
2011,WY,67,4,71
2011,MP,5,6,11
2012,NJ,47651,2051,49702
2012,CA,43354,2034,45388
2012,TX,30098,1136,31234
2012,NY,21285,826,22111
2012,IL,14537,619,15156
2012,MD,12465,499,12964
2012,MA,11035,370,11405
2012,PA,9875,350,10225
2012,FL,7994,560,8554
2012,MI,8119,402,8521
2012,VA,7612,458,8070
2012,WA,7368,148,7516
2012,NC,6169,198,6367
2012,GA,5811,367,6178
2012,OH,4019,164,4183
2012,CT,3086,91,3177
2012,AZ,2280,107,2387
2012,TN,2157,45,2202
2012,MO,2091,63,2154
2012,MN,2052,69,2121
2012,WI,1965,56,2021
2012,CO,1919,50,1969
2012,DC,1490,71,1561
2012,IN,1294,46,1340
2012,IA,923,49,972
2012,LA,896,27,923
2012,KS,868,40,908
2012,KY,856,27,883
2012,AL,831,32,863
2012,DE,800,57,857
2012,AR,785,8,793
2012,OR,720,33,753
2012,OK,684,39,723
2012,UT,614,34,648
2012,NE,577,21,598
2012,RI,558,14,572
2012,NH,520,36,556
2012,SC,522,32,554
2012,NV,459,47,506
2012,NM,409,11,420
2012,ID,387,14,401
2012,MS,306,11,317
2012,HI,276,24,300
2012,VT,284,8,292
2012,ME,199,5,204
2012,ND,184,5,189
2012,WV,184,5,189
2012,GU,120,12,132
2012,PR,117,6,123
2012,SD,115,4,119
2012,MP,78,16,94
2012,AK,69,6,75
2012,WY,67,5,72
2012,MT,46,6,52
2012,VI,42,6,48
2013,CA,51765,2763,54528
2013,NJ,44108,2812,46920
2013,TX,36274,1406,37680
2013,NY,22356,867,23223
2013,IL,16865,825,17690
2013,MD,12568,438,13006
2013,MA,11331,428,11759
2013,PA,10490,361,10851
2013,MI,10057,593,10650
2013,WA,8989,185,9174
2013,VA,8584,482,9066
2013,FL,8012,609,8621
2013,GA,6692,268,6960
2013,NC,6033,212,6245
2013,OH,4849,256,5105
2013,CT,2980,101,3081
2013,MO,2545,101,2646
2013,AZ,2486,115,2601
2013,WI,2404,92,2496
2013,MN,2383,88,2471
2013,TN,2196,69,2265
2013,CO,2021,102,2123
2013,IN,1672,81,1753
2013,DC,1598,60,1658
2013,KS,1068,101,1169
2013,IA,1117,50,1167
2013,LA,1015,41,1056
2013,KY,951,43,994
2013,AR,963,25,988
2013,AL,947,31,978
2013,DE,823,61,884
2013,OR,842,41,883
2013,RI,810,14,824
2013,NE,798,22,820
2013,OK,704,34,738
2013,UT,689,42,731
2013,NH,617,35,652
2013,SC,570,35,605
2013,NV,484,35,519
2013,NM,467,23,490
2013,ID,349,11,360
2013,HI,321,28,349
2013,VT,312,6,318
2013,MS,286,22,308
2013,ME,250,11,261
2013,ND,227,11,238
2013,GU,203,14,217
2013,WV,194,5,199
2013,SD,131,3,134
2013,AK,82,9,91
2013,PR,84,6,90
2013,MP,42,41,83
2013,WY,79,3,82
2013,MT,64,4,68
2013,VI,42,3,45
2013,AE,1,0,1
2014,CA,54921,2502,57423
2014,TX,53426,2346,55772
2014,NJ,43710,2902,46612
2014,NY,24383,1125,25508
2014,IL,18760,948,19708
2014,MD,15854,812,16666
2014,MA,12603,441,13044
2014,MI,12090,688,12778
2014,PA,10809,583,11392
2014,VA,10472,903,11375
2014,FL,9131,707,9838
2014,WA,8791,196,8987
2014,GA,7890,428,8318
2014,NC,7125,294,7419
2014,OH,4949,245,5194
2014,CT,3277,110,3387
2014,MO,2726,135,2861
2014,TN,2598,69,2667
2014,MN,2574,85,2659
2014,AZ,2517,92,2609
2014,WI,2479,79,2558
2014,CO,2026,114,2140
2014,IN,1657,63,1720
2014,DC,1601,79,1680
2014,IA,1110,45,1155
2014,KS,1082,61,1143
2014,AR,1101,31,1132
2014,KY,1041,41,1082
2014,LA,1010,45,1055
2014,OR,959,64,1023
2014,DE,886,110,996
2014,AL,888,28,916
2014,NE,840,22,862
2014,RI,827,30,857
2014,UT,723,27,750
2014,SC,704,32,736
2014,NH,615,65,680
2014,OK,636,27,663
2014,NM,484,18,502
2014,NV,419,28,447
2014,ID,409,16,425
2014,VT,320,6,326
2014,MS,292,12,304
2014,ME,266,23,289
2014,HI,224,18,242
2014,WV,197,2,199
2014,ND,184,14,198
2014,GU,170,6,176
2014,SD,118,1,119
2014,PR,92,5,97
2014,AK,81,4,85
2014,WY,77,4,81
2014,VI,59,7,66
2014,MT,59,5,64
2014,MP,52,11,63
2014,AE,1,0,1
2015,CA,48536,1883,50419
2015,TX,48291,1877,50168
2015,NJ,35504,2036,37540
2015,NY,20441,818,21259
2015,IL,17528,816,18344
2015,MD,13057,603,13660
2015,MA,10729,294,11023
2015,MI,10354,613,10967
2015,PA,9121,647,9768
2015,VA,8908,638,9546
2015,WA,8406,197,8603
2015,FL,7583,544,8127
2015,GA,6953,338,7291
2015,NC,6991,233,7224
2015,OH,4187,204,4391
2015,CT,2802,104,2906
2015,TN,2322,41,2363
2015,MN,2247,81,2328
2015,WI,2159,50,2209
2015,MO,2056,132,2188
2015,AZ,1833,93,1926
2015,CO,1788,75,1863
2015,IN,1353,37,1390
2015,DC,1311,77,1388
2015,KY,945,41,986
2015,AR,914,29,943
2015,IA,900,31,931
2015,KS,886,33,919
2015,OR,822,39,861
2015,NE,811,23,834
2015,LA,765,66,831
2015,DE,724,61,785
2015,AL,754,25,779
2015,SC,667,15,682
2015,UT,611,29,640
2015,RI,578,17,595
2015,OK,545,27,572
2015,NH,495,30,525
2015,NM,400,23,423
2015,NV,351,19,370
2015,MS,295,16,311
2015,ID,302,9,311
2015,VT,282,8,290
2015,GU,230,20,250
2015,WV,230,5,235
2015,ME,217,12,229
2015,ND,205,8,213
2015,HI,197,9,206
2015,SD,139,4,143
2015,PR,63,10,73
2015,MP,50,6,56
2015,WY,50,4,54
2015,AK,46,3,49
2015,MT,47,1,48
2015,VI,28,7,35
2016,TX,62646,3201,65847
2016,CA,59707,3235,62942
2016,NJ,42802,4070,46872
2016,NY,23565,1217,24782
2016,IL,21205,1268,22473
2016,MD,16948,1119,18067
2016,MI,13961,1043,15004
2016,MA,13520,589,14109
2016,PA,11792,1000,12792
2016,VA,10503,1069,11572
2016,WA,11106,343,11449
2016,FL,8823,846,9669
2016,GA,8542,826,9368
2016,NC,8386,483,8869
2016,OH,5554,543,6097
2016,CT,3221,159,3380
2016,MN,2772,117,2889
2016,MO,2730,143,2873
2016,TN,2626,95,2721
2016,WI,2437,105,2542
2016,AZ,2138,159,2297
2016,CO,2092,122,2214
2016,IN,1636,106,1742
2016,DC,1519,75,1594
2016,KY,1194,78,1272
2016,AR,1200,53,1253
2016,KS,1084,119,1203
2016,IA,1060,89,1149
2016,DE,1005,122,1127
2016,OR,1000,61,1061
2016,NE,1012,37,1049
2016,SC,905,48,953
2016,LA,832,71,903
2016,AL,802,40,842
2016,UT,783,48,831
2016,RI,759,20,779
2016,NH,568,40,608
2016,OK,555,43,598
2016,NV,458,47,505
2016,NM,448,24,472
2016,ID,394,13,407
2016,MS,349,20,369
2016,VT,353,9,362
2016,ME,253,15,268
2016,WV,241,15,256
2016,HI,191,9,200
2016,ND,186,12,198
2016,SD,186,6,192
2016,GU,179,13,192
2016,MT,71,3,74
2016,PR,65,6,71
2016,WY,64,5,69
2016,AK,42,4,46
2016,MP,34,7,41
2016,VI,27,4,31
2017,TX,69812,4931,74743
2017,CA,57669,3502,61171
2017,NJ,43760,5490,49250
2017,NY,21504,1340,22844
2017,IL,20557,1600,22157
2017,MD,19259,1340,20599
2017,PA,15156,1360,16516
2017,MI,13805,1538,15343
2017,MA,14051,776,14827
2017,WA,13871,542,14413
2017,VA,10495,1252,11747
2017,FL,9823,1157,10980
2017,GA,9126,1297,10423
2017,NC,7626,591,8217
2017,OH,5513,455,5968
2017,AZ,4722,173,4895
2017,CT,3116,187,3303
2017,MN,2948,188,3136
2017,MO,2900,224,3124
2017,TN,2897,105,3002
2017,WI,2649,208,2857
2017,CO,2080,139,2219
2017,IN,1586,130,1716
2017,DC,1409,107,1516
2017,KY,1291,89,1380
2017,AR,1247,78,1325
2017,DE,1151,173,1324
2017,KS,1154,120,1274
2017,IA,1131,97,1228
2017,NE,1118,49,1167
2017,OR,859,83,942
2017,UT,812,61,873
2017,SC,787,74,861
2017,LA,757,47,804
2017,AL,749,27,776
2017,RI,747,17,764
2017,OK,567,24,591
2017,NH,520,42,562
2017,NM,470,40,510
2017,NV,402,36,438
2017,ID,395,16,411
2017,MS,297,14,311
2017,VT,289,9,298
2017,ME,288,8,296
2017,WV,211,8,219
2017,SD,193,6,199
2017,HI,177,13,190
2017,GU,177,9,186
2017,ND,171,5,176
2017,MP,113,40,153
2017,MT,67,3,70
2017,PR,62,3,65
2017,AK,57,4,61
2017,WY,54,5,59
2017,VI,32,4,36
2017,FM,1,0,1
2018,CA,63250,6859,70109
2018,TX,38562,13026,51588
2018,NJ,36519,9745,46264
2018,NY,25625,2923,28548
2018,IL,18473,4830,23303
2018,MA,16368,2010,18378
2018,PA,14258,2768,17026
2018,WA,15529,827,16356
2018,MD,13278,2487,15765
2018,MI,11420,2391,13811
2018,VA,10784,2505,13289
2018,GA,8149,2273,10422
2018,FL,8178,1993,10171
2018,NC,7092,1058,8150
2018,OH,4867,986,5853
2018,AZ,4682,315,4997
2018,TN,3667,245,3912
2018,CT,3424,458,3882
2018,MN,3199,288,3487
2018,MO,2931,410,3341
2018,WI,2268,192,2460
2018,CO,2112,225,2337
2018,AR,1652,160,1812
2018,DE,1462,265,1727
2018,IN,1498,154,1652
2018,DC,1393,146,1539
2018,NE,1216,111,1327
2018,IA,1072,228,1300
2018,KY,1095,151,1246
2018,KS,1062,150,1212
2018,UT,1013,110,1123
2018,OR,868,88,956
2018,SC,785,140,925
2018,LA,762,75,837
2018,AL,734,57,791
2018,RI,681,51,732
2018,OK,580,82,662
2018,NH,524,101,625
2018,NM,412,125,537
2018,NV,406,61,467
2018,ID,365,19,384
2018,ME,285,18,303
2018,VT,283,14,297
2018,MS,271,21,292
2018,WV,213,15,228
2018,SD,197,12,209
2018,MP,128,54,182
2018,ND,156,12,168
2018,GU,140,25,165
2018,HI,154,11,165
2018,PR,52,22,74
2018,WY,42,5,47
2018,AK,45,2,47
2018,MT,39,6,45
2018,VI,21,5,26
2018,AE,2,0,2
2019,CA,80677,8303,88980
2019,TX,43253,15837,59090
2019,NJ,41431,9705,51136
2019,NY,27433,2821,30254
2019,IL,21004,4627,25631
2019,MA,19883,3424,23307
2019,WA,20026,1170,21196
2019,PA,15694,2670,18364
2019,MI,13527,3373,16900
2019,MD,12526,2683,15209
2019,VA,11205,2045,13250
2019,FL,8997,2387,11384
2019,NC,8634,1773,10407
2019,GA,8155,2198,10353
2019,OH,6034,1027,7061
2019,AZ,6111,556,6667
2019,CT,3960,361,4321
2019,TN,3921,311,4232
2019,MN,3633,343,3976
2019,MO,3385,584,3969
2019,CO,2472,306,2778
2019,WI,2488,252,2740
2019,AR,2304,143,2447
2019,IN,1839,198,2037
2019,DE,1662,185,1847
2019,IA,1345,326,1671
2019,NE,1499,121,1620
2019,DC,1447,119,1566
2019,KS,1267,231,1498
2019,UT,1226,149,1375
2019,KY,1200,142,1342
2019,OR,1179,119,1298
2019,SC,1090,205,1295
2019,AL,1037,83,1120
2019,RI,996,86,1082
2019,LA,816,70,886
2019,OK,764,68,832
2019,NH,562,115,677
2019,ID,592,31,623
2019,NM,525,48,573
2019,NV,508,62,570
2019,MS,374,26,400
2019,ME,302,13,315
2019,VT,289,8,297
2019,WV,246,30,276
2019,GU,213,17,230
2019,SD,203,15,218
2019,ND,204,11,215
2019,HI,189,25,214
2019,MT,98,8,106
2019,AK,63,5,68
2019,WY,55,12,67
2019,MP,41,25,66
2019,PR,37,4,41
2019,VI,15,2,17
