State,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CA,16948,13179,19156,22136,21949,20535,17986,18593,17218,15601,31148
TX,8341,9425,11850,15336,16477,19250,15652,14905,12392,6933,11631
NJ,11551,12381,18238,26680,20092,18092,14752,12205,10698,8885,11600
NY,11484,9517,12178,10634,9541,9031,8079,8421,7249,9431,11149
WA,3007,3258,3128,3588,3269,3123,3274,3752,5205,5335,7438
MA,4743,3491,4601,5669,4732,4583,4019,4384,4044,5042,6900
IL,4139,3065,5570,8443,8257,7820,7692,6141,4460,3771,6408
MI,2572,2101,3178,4410,4625,5040,4151,4171,3966,2908,4343
PA,4313,2895,4010,4791,4256,3963,3367,3066,3072,3578,4336
VA,3119,1900,2897,3234,3495,4220,3125,2773,2443,2990,3632
MD,2536,1919,3951,9525,8334,9445,6407,3694,3580,2147,3576
FL,3910,3154,4069,3834,3222,3475,3036,3055,2838,2125,3404
NC,2425,2090,2371,3188,2833,2787,3058,2672,2245,1581,3214
GA,2612,1626,2509,2436,3132,3225,2831,2531,2184,2011,2766
AZ,1039,707,1020,997,801,819,712,684,1791,1764,2261
OH,1914,1349,1710,1776,1870,1791,1527,1801,1439,1294,1805
TN,905,732,1136,1022,948,838,793,848,819,1223,1538
CT,1435,1099,1276,1428,1236,1241,1185,1049,919,1162,1445
MO,978,710,891,938,1055,1141,833,932,866,835,1431
MN,931,669,895,928,941,863,815,836,827,875,1346
CO,798,622,825,1003,829,729,707,709,599,684,948
WI,818,613,814,857,924,927,882,739,753,551,868
IN,812,611,718,609,733,734,594,668,513,557,820
AR,345,303,393,308,294,338,332,384,375,539,802
IA,545,316,512,443,456,440,385,415,406,421,616
DC,832,668,769,745,633,615,586,577,490,542,605
DE,497,290,464,287,318,366,250,292,280,439,569
UT,298,267,328,320,320,339,286,326,296,354,532
NE,269,208,232,221,285,312,303,296,340,314,516
SC,292,244,305,248,259,285,282,300,288,391,501
KS,454,349,397,382,422,402,343,352,346,329,443
AL,493,349,471,437,444,379,357,319,301,318,433
OR,396,301,402,350,334,359,358,376,307,247,424
OK,406,280,461,307,313,259,272,245,215,242,367
LA,502,347,333,440,451,431,317,304,238,330,329
KY,431,334,437,388,358,315,294,322,275,297,323
ID,152,141,209,164,113,93,111,171,162,148,287
RI,273,186,172,239,239,238,161,185,178,190,263
NM,290,234,202,227,240,214,243,182,193,198,247
NH,258,160,244,253,314,291,235,167,202,198,237
NV,198,155,180,199,200,176,138,152,139,137,224
MS,156,125,165,171,147,130,149,152,104,106,158
ME,130,105,137,104,134,117,107,99,104,121,120
GU,89,133,143,65,66,68,142,93,76,50,117
WV,109,144,106,93,92,99,114,112,94,90,114
ND,129,87,109,103,102,79,84,81,66,74,92
HI,151,130,129,144,123,95,84,85,77,67,89
SD,67,57,59,69,61,55,73,77,89,82,85
VT,105,75,104,105,121,80,68,80,65,61,81
MT,42,28,33,24,30,31,35,49,47,22,38
AK,41,58,42,39,34,41,23,17,22,17,31
MP,,9,5,77,26,14,12,23,81,92,26
WY,49,33,30,40,40,42,24,40,33,24,25
PR,63,58,68,51,24,39,24,18,22,27,19
VI,38,25,5,8,4,6,5,4,7,4,12
AE,0,,,,0,0,,,,0,
FM,,,,,,,,,0,,
AP,,0,,,,,,,,,
